idFermata,descrizioneFermata,latitudine,longitudine
10207003,"via   Delle Ortensie,33- Pimespo",41.1075,16.7748
01378001,"Via Napoli, 234/E",41.1661,16.7337
08294101,"Lung. IX Maggio ,di fronte E/1",41.1377,16.8241
06306102,"via Lattanzio ,97",41.1149,16.879
06519102,"Via Tupputi, Caserma Vigili del Fuoco",41.092,16.89
06211001,"V.le Della Repubblica, 112",41.108,16.8741
03283C00,"piazza  G. Cesare ,Capolinea",41.1126,16.8622
04320101,"Prov. Loseto-Valenzano, ang. Giacobelli",41.0412,16.8527
05216008,"strada detta Della Marina ,14",41.0937,16.9845
06162003,"C.so A. De Gasperi Scuola Disneyland",41.0917,16.87
01379101,"Via Paul Harris di fronte al civ.5",41.1673,16.7306
02240104,"Viale Europa ,di fronte Coca Cola",41.1242,16.8263
05021101,"Via  Archimede , di fronte Palaflorio",41.102,16.9079
02150102,"viale De Blasio, 11",41.1162,16.8128
03285010,"via Giulio Petroni, 66",41.1089,16.8677
02301101,"via La Rotella di fronte Coca Cola",41.1237,16.8252
08276101,"Via Giordano ,angolo via Adriatico",41.1377,16.8397
05060001,"Via Caduti Partigiani di fronte Civ A/44",41.1083,16.896
10205004,"via Delle Magnolie, Fonderie Battezzati",41.1095,16.7647
03321002,"via Lucarelli ,bar Lucarelli",41.0932,16.86
09099C00,"Corso Cavour ,Petruzzelli (Capolinea)",41.1235,16.8724
07284001,"Via Imbriani, 67",41.1224,16.8756
10207103,"via Delle Ortensie, di fronte OM",41.1074,16.7749
06438002,"Piazzale Pugliese, ang. Venisti",41.0908,16.8902
05477001,"via S. Giorgio, di fronte al Civ. 42",41.0945,16.9618
05216003,"strada detta Della Marina, 62",41.0954,16.9728
02516C00,"Via Troccoli, Capolinea",41.1248,16.7827
09217001,"corso De Tullio -  L.go S.Chiara",41.1313,16.8677
05273004,"Via Gentile, di fronte al 52",41.1066,16.9148
05078003,"via  Carabellese ,4",41.1082,16.9075
08555101,"Via Verdi ,Lido S. Francesco",41.1356,16.834
03237104,"Bari, Viale Ennio fronte Chiesa ",41.1146,16.862
03433101,"Interno Policlinico Amb. Reumatologia",41.1137,16.8589
08354101,"Corso  Mazzini ,di fronte ex capolinea",41.1252,16.8538
05297103,"Viale Japigia, 162",41.1139,16.8963
03484101,"via S. l'Africano ,Villa Bianca",41.1112,16.8645
06244101,"Via Falcone e Borsellino, 9",41.0999,16.8736
04513002,"via Trisorio Liuzzi, di fronte Civ 111",41.0592,16.8595
02424101,"Via G. Pugliese, ang Barisano da trani",41.1261,16.795
05216005,"strada detta Della Marina, 36/A",41.094,16.9791
02024101,"via B. Buozzi ,13",41.1179,16.8409
08378102,"Via Napoli ,329L",41.1273,16.8483
01560002,"Corso Vittorio Emanuele - fronte 23",41.1503,16.7653
03299101,"Via R. Kennedy ,1/E",41.1006,16.8592
05221104,"L.Di Cagno Abbrescia-Parch.Torre Quetta",41.1129,16.9124
09561101,"Corso Vittorio Veneto,di fronte Anagrafe",41.1287,16.8636
10183002,"via Dei Gerani, di fronte Brovedani",41.1101,16.7814
01378009,"Via Napoli, 6/A",41.1602,16.7582
05500002,"via  Suglia ,inversione",41.103,16.9161
06235003,"viale Einaudi ,17/H (autolavaggio)",41.1008,16.8769
04162101,"Corso Alcide De Gasperi, 449/A",41.0898,16.8697
06249101,"via Fanelli , 221",41.1042,16.8789
03348101,"via L. King ,89",41.1007,16.8575
01502101,"Via Tenente Ranieri , 13/A  (Palese)",41.1536,16.7643
06162108,"Corso Alcide De Gasperi ,429/a",41.0925,16.8702
04558102,"Via  Veneto ,Ist Lucarelli",41.068,16.8697
04528102,"Corso Umberto 1° ,157",41.0628,16.869
03321001,"via Lucarelli ,ex Cap. 27",41.0935,16.8549
02048101,"via C.Massa ang. Strada Castelluccio",41.1271,16.7895
06162005,"C.so A. De Gasperi, difronte Villa Sole ",41.0965,16.8708
07099001,"Corso Cavour, 6/A",41.1247,16.8724
06009004,"via Amendola , 164/B - Executive Center",41.1025,16.8876
04093001,"via Cascia ,14",41.0677,16.8557
05500003,"Via Suglia, lato 3/L",41.1036,16.9129
07165001,"Via De Giosa ,50/a",41.1211,16.8738
03298101,"viale Kennedy, 53",41.1008,16.8692
01339002,"Via Macchie, 31/B",41.1466,16.7723
04214101,"Via dello Scoglio Chiesa S. Rita",41.0694,16.8576
01378007,"Via Napoli, 14",41.1617,16.7526
04038001,"Via Bitritto compl.EST-pal.Navarra",41.0764,16.8318
06438101,"piazzale Pugliese ",41.0925,16.8908
01069002,"Via Capitaneo , 71  Palese",41.157,16.7619
05018101,"Via  Appulo, di fronte Civ. 2",41.1043,16.9005
08276003,"Via Giordano ,angolo Adriatico",41.1377,16.8399
02240108,"Viale  Europa ,ang. Pacifico Mazzoni",41.125,16.7984
05297101,"Viale Japigia, 230",41.1117,16.9018
06045102,"via Conte G. Giusso,13bis  ang.R.Bovio",41.0938,16.8862
