took,timed_out,shards_total,shards_successful,shards_failed,hits_total,hits_max_score,hits_hits__index,hits_hits__type,hits_hits__id,hits_hits__score,hits_hits__source_id_quartiere,hits_hits__source_id_municipio,hits_hits__source_id_circoscrizione,hits_hits__source_ora,hits_hits__source_id_corsa,hits_hits__source_totale_rilevazioni,hits_hits__source_id_data,hits_hits__source_municipio,hits_hits__source_quartiere,hits_hits__source_flag_amtab_mezzi,hits_hits__source_data,hits_hits__source_anno,hits_hits__source_data_anno
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_17_161428_20170317",1.0,8.0,5.0,151.0,17.0,"161428",1.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_8_184134_20170317",1.0,8.0,5.0,151.0,8.0,"184134",2.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_11_184573_20170317",1.0,2.0,3.0,93.0,11.0,"184573",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_8_184150_20170317",1.0,8.0,5.0,151.0,8.0,"184150",3.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","12_1_140_14_184058_20170317",1.0,12.0,1.0,140.0,14.0,"184058",2.0,2.0170317E7,"MUNICIPIO N.5","XII - PALESE - MACCHIE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","8_5_151_20_159987_20170317",1.0,8.0,5.0,151.0,20.0,"159987",1.0,2.0170317E7,"MUNICIPIO N.2","VIII - PICONE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","3_3_93_18_159789_20170317",1.0,3.0,3.0,93.0,18.0,"159789",1.0,2.0170317E7,"MUNICIPIO N.1","III - MADONNELLA",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","12_1_140_14_184059_20170317",1.0,12.0,1.0,140.0,14.0,"184059",1.0,2.0170317E7,"MUNICIPIO N.5","XII - PALESE - MACCHIE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","17_3_139_15_125872_20170317",1.0,17.0,3.0,139.0,15.0,"125872",2.0,2.0170317E7,"MUNICIPIO N.1","XVII - TORRE A MARE",1.0,"2017-03-17","2017","2017"
30.0,false,5.0,5.0,0.0,371909.0,1.0,"vw_amtabmezzi","default","2_3_93_10_184563_20170317",1.0,2.0,3.0,93.0,10.0,"184563",1.0,2.0170317E7,"MUNICIPIO N.1","II - MURAT",1.0,"2017-03-17","2017","2017"
